
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1972	1	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	0	0	251620	0	0	0	0	0	0	0	0	0	
1974	2	0	0	0	0	0	0	852	0	0	0	0	0	0	0	0	0	
1975	1	0	0	0	65	0	0	226	0	0	0	0	0	0	0	0	0	
1977	2	0	0	0	46	0	0	380	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	154	0	0	500	0	0	0	0	0	0	0	0	0	
1981	2	0	0	0	155	0	0	588	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4500	0	0	
1983	1	0	0	0	71	0	0	287	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	4600000	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	3000000	0	0	0	0	0	
2005	2	0	0	0	0	0	0	14	0	0	0	30750000	0	0	2680	0	0	
TOTAL	16				491			254605				38350000			7180			

