
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1983	12	3	0	0	0	34	11	0	0	100	1500050	1506035	0	0	220	0	0	
1984	3	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	
1985	4	0	2	0	0	0	0	0	0	0	0	3000000	0	0	120	0	0	
1986	6	2	2	0	0	4	12	16000	0	0	0	6000000	0	0	150	0	0	
1987	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	31	4	12	2	5	30	90	0	0	0	1150200	27000000	0	0	268	0	0	
1989	48	9	5	0	22	5	75	0	0	50000	0	10600000	0	0	5760	0	0	
1990	14	2	1	0	1	2	0	0	0	0	0	0	0	0	95	0	0	
1991	43	7	20	0	11	5	0	0	0	3020	13400000	0	0	0	1862	0	0	
1992	81	11	11	0	25	20	0	10503	0	16	927.5	35	1	0	956	0	0	
1993	17	9	4	0	2	6	0	0	0	0	80000	1600000	0	0	80	0	0	
1994	129	25	28	1	42	43	176	64	0	0	1050521	9	0	0	112.5	0	0	
1995	42	4	5	0	15	11	90	0	0	0	50000	0	1	0	2417	0	0	
1996	42	13	18	0	11	5	57	0	0	0	4200	0	0	0	1651	0	0	
1997	21	6	2	0	3	5	21	0	0	0	0	0	0	0	500	0	5200	
1998	47	15	8	0	22	53	222	44	0	20	0	0	0	0	160	0	0	
1999	35	20	15	0	8	8	63	0	0	0	0	0	0	0	4300	0	0	
2000	96	10	24	0	55	9	147	0	0	0	580	0	0	0	3807	0	0	
2001	28	14	17	0	3	5	28	577	0	400	250000	0	0	0	2	0	0	
2002	5	1	4	0	1	0	9	0	0	0	0	0	0	0	26	0	0	
2003	4	1	3	0	0	1	6	0	0	0	0	0	0	0	13	0	0	
2004	46	11	9	0	11	2	326	0	0	0	2700000	0	0	0	3551.75	0	0	
2005	27	11	4	0	8	212	95	280	0	5591	0	500000	0	0	8414	0	0	
2006	8	2	2	0	2	0	3	0	0	0	0	0	0	0	60	0	0	
2007	60	9	26	3	10	70	19	37	0	190	400350	0	0	0	1583	0	0	
2008	107	14	24	0	14	14	35	0	0	3	3	0	0	0	1547	0	0	
2009	33	7	41	0	1	2	0	25	0	3	0	0	0	0	8188	0	0	
2010	36	5	14	0	11	8	37	0	0	12	0	0	0	0	2290	0	0	
2011	82	22	56	0	18	33	1186	0	0	150	150190	0	0	0	6555	0	0	
2012	55	20	11	0	19	124	99	0	0	303	0	0	0	0	2401	0	0	
2013	56	18	34	0	23	427	70	0	0	1270	0	0	0	0	269.05	0	0	
2014	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	1232	277	404	6	343	1139	2880	27530		61078	20737021.5	50206079	2		57358.3		5200	

