
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1978	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	2	0	0	0	0	0	0	0	0	250	0	800000000	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	
2000	2	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	
2003	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	7	1	0	0	0	0	0	43	0	194	0	0	0	0	0	0	0	
2005	7	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	130	
2006	7	0	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	
2007	52	2	0	0	0	4	0	900030	0	0	0	0	0	0	0	0	354	
2010	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	7	0	2	0	0	0	0	0	4000	0	0	0	0	0	0	0	500	
2015	5	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	109	3	49		20	4		900773	4000	1241		800000000					984	

