
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1875	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	3	0	0	0	8	20	0	0	0	0	0	0	0	0	0	0	0	
1972	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1974	3	0	0	0	0	0	0	0	0	0	0	200000	0	0	0	0	0	
1975	3	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	3	0	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	
1980	6	0	0	0	281	0	1000	0	0	0	0	0	0	0	0	0	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	2	0	0	0	0	0	0	0	0	0	0	6000000	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	3	17	0	0	0	0	0	0	0	0	0	0	0	
1990	2	0	0	0	8	0	0	22	0	0	0	0	0	0	0	0	0	
1991	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	
2002	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	16	1	0	0	10	162	40	0	0	0	0	0	0	0	0	0	0	
2004	19	0	0	0	23	36	0	252	0	0	0	0	0	0	0	0	0	
2005	51	2	0	0	19	48	108	268	0	0	0	0	0	0	0	0	0	
2006	21	1	0	0	12	70	0	36068	0	0	0	0	0	0	0	0	0	
2007	23	0	0	0	27	332	19	161	0	24	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	24	0	96	0	0	0	0	0	0	0	0	0	
TOTAL	176	9			394	1061	1167	37142		24		7200000						

