
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	5	112	200	0	584	265	0	20000	0	0	0	0	0	0	0	0	0	
1993	4	20	17	0	34	45	0	0	0	0	0	0	0	0	0	0	0	
1994	7	38	47	0	429	2050	0	0	0	0	0	0	0	0	0	0	0	
1995	8	10	2	0	311	507	0	0	0	0	0	0	0	0	0	0	0	
1996	6	115	29	0	407	17	0	0	0	0	0	0	0	0	0	0	0	
1997	14	15	28	0	225	1179	0	0	0	0	0	0	0	0	0	0	0	
1999	12	50	4	10	1999	27046	0	15000	0	0	0	0	0	0	0	0	0	
2000	8	78	44	2	267	2236	0	0	0	0	0	0	0	0	0	0	0	
2001	12	45	15	0	33	6074	0	0	0	0	0	0	0	0	0	0	0	
2002	12	98	137	0	7596	68244	0	0	0	0	0	0	0	0	0	0	0	
2004	9	68	41	1	203	7665	0	0	0	0	0	0	0	0	0	0	0	
2005	9	76	18	1	641	8266	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	106	725	582	14	12729	123594		35000										

