
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	6	36	0	89	52	1340	0	18000	0	0	0	0	0	0	0	0	0	
2004	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	18	8	20	0	313	558	0	43	0	1264	0	150000000	0	0	0	0	0	
2008	40	70	475	30	896	6063	37	5497	0	5000	0	13212221121	0	0	5000	0	503	
2009	3	1	1	0	4	21	0	0	0	0	0	0	0	0	1000	0	0	
2010	4	6	0	4	1	0	3	3	0	0	0	0	0	0	0	0	0	
2022	12	3	37	0	0	0	7	0	0	0	0	0	0	0	0	0	0	
TOTAL	85	128	533	123	1266	7982	47	23543		6264		13362221121			6000		503	

