
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2000	1	0	0	0	0	0	0	14000	0	0	0	0	0	1	0	0	0	
2005	1	0	0	0	0	15	0	54	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	
2009	4	0	0	0	1017	1020	500	547	500	0	0	0	0	0	0	0	0	
2010	1	0	1	0	0	0	69	69	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	1	1	3	3	0	0	0	0	0	0	0	0	0	
2013	2	0	0	0	0	0	31	7	0	31	0	700	1	0	0	0	0	
2014	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
2015	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
2016	4	0	0	0	0	17	72	72	0	0	0	0	1	0	0	0	0	
2017	1	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	
TOTAL	21	1	1		1019	1053	805	14882	500	31		700	4	2				

