
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1950	1	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	
1975	13	0	0	0	0	0	0	0	0	0	0	16300	0	0	161.997	0	0	
1978	12	0	0	0	0	0	0	0	0	0	0	1750	0	0	69.9	0	0	
1979	4	0	0	0	0	0	0	0	0	0	0	2500	0	0	18	0	0	
1980	5	0	0	0	0	0	0	0	0	0	0	1500	0	0	96.6	0	0	
1985	59	0	0	0	0	0	0	0	0	0	0	1400	0	0	1656.25	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	100000	0	0	10	0	0	
1993	9	0	0	0	0	0	0	0	0	0	0	4372000	0	0	842.7	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	500000	0	0	40	0	0	
1995	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	
1996	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3	0	0	
1997	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	10	0	0	0	0	0	0	0	0	0	0	0	0	0	20.5	0	0	
1999	9	0	0	0	0	0	0	0	0	0	0	7000000	0	0	762	0	0	
2000	12	0	0	0	3	0	8	0	0	0	0	3431016	0	0	1837	0	0	
2001	23	1	0	0	2	0	0	0	0	0	0	0	0	0	280.5	0	0	
2002	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
2003	146	0	1	0	1	0	0	0	0	0	0	800000	0	0	1473.88	0	0	
2004	16	0	0	0	0	0	0	0	0	0	0	0	0	0	182.6	0	0	
2005	23	0	0	0	1	2	0	0	0	0	0	0	0	0	369.3	0	0	
2006	40	0	1	0	2	0	0	0	0	0	0	0	0	0	267.504	0	0	
2007	192	0	0	0	6	0	98	0	0	96	0	2173428	0	0	1936.52	0	0	
2008	58	0	0	0	0	0	0	0	0	0	0	0	0	0	1066.3	0	0	
2009	28	0	0	0	3	0	0	0	0	0	0	0	0	0	107.7	0	0	
2010	20	0	0	0	0	0	0	0	0	0	0	0	0	0	30.35	0	0	
2011	152	1	0	0	7	0	0	0	0	0	0	0	0	0	3130.7	7	0	
2012	113	0	0	0	1	1	40	42	20	20	0	0	0	0	929.5	4	0	
2013	34	1	0	0	0	0	0	0	0	0	0	0	0	0	238.9	0	0	
2014	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	
2015	11	0	0	0	0	0	0	0	0	0	0	0	0	0	153.1	0	0	
2016	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2020	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	
2021	628	2	2	0	0	6	0	0	0	0	0	0	0	0	6634.206	0	0	
2022	184	0	0	0	0	5	0	0	0	0	0	0	0	0	14.15	0	0	
TOTAL	1927	5	4		26	14	146	42	20	116		18399894			22495.26	11		

