
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1958	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1968	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	123	50	0	0	0	0	175	0	0	0	0	0	0	0	0	0	
2002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	152	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	
2014	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	9	292	58					204		16								

