
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	273	
ALLUVION	83	
AVALANCHE	45	
BIOLOGICAL	156	
COASTLINE	1	
DROUGHT	817	
EARTHQUAKE	461	
ELECTRICSTORM	50	
EPIDEMIC	272	
ERUPTION	36	
EXPLOSION	214	
FIRE	3381	
FLOOD	650	
FOG	5	
FORESTFIRE	1195	
FROST	168	
HAILSTORM	14	
HEATWAVE	11	
INTOXICACIÓN	232	
LANDSLIDE	260	
LEAK	133	
LITORAL	4	
OTHER	5	
OZONO	3	
PLAGUE	170	
POLLUTION	424	
RAIN	589	
SEDIMENTATION	5	
SNOWSTORM	345	
SPATE	45	
STORM	2274	
STRONGWIND	242	
STRUCTURE	132	
SURGE	188	
TORNADO	1	
TSUNAMI	12	
TOTAL	12896	

