
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	102	
ALLUVION	2	
AVALANCHE	25	
BIOLOGICAL	106	
COASTLINE	6	
DROUGHT	700	
EARTHQUAKE	1015	
ELECTRICSTORM	246	
EPIDEMIC	99	
Erosión	26	
ERUPTION	65	
EXPLOSION	424	
FIRE	3668	
FLOOD	16855	
FOG	4	
FORESTFIRE	9300	
FROST	68	
HAILSTORM	130	
HEATWAVE	17	
HURRICANE	37	
INTOXICACION	383	
LANDSLIDE	10438	
LEAK	54	
Naufragio	27	
OTHER	126	
PANIC	11	
PLAGUE	366	
POLLUTION	258	
RAIN	916	
SEDIMENTATION	12	
SNOWSTORM	1	
SPATE	1363	
STORM	377	
STRONGWIND	5548	
STRUCTURE	653	
SURGE	169	
TORNADO	3	
TSUNAMI	5	
TOTAL	53605	

