
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	630	
Accidente aéreo	55	
Accidente de tránsito	1795	
Accidente en el medio náutico	92	
Accidente ferroviario	2	
Accidente fluvial	4	
Accidente minero	74	
Aguaje	17	
Ahogado	130	
ALLUVION	122	
Amenaza de bomba	7	
AVALANCHE	6	
BIOLOGICAL	12	
COASTLINE	1	
Conmoción social	119	
Déficit hídrico	247	
Desaparecido	176	
Desaparecido en excursión	94	
Desaparecido en medio acuático	399	
Desbordamiento	80	
DROUGHT	133	
EARTHQUAKE	646	
ELECTRICSTORM	31	
EPIDEMIC	274	
ERUPTION	582	
EXPLOSION	497	
FIRE	6717	
FLOOD	4705	
FORESTFIRE	8192	
FROST	36	
HAILSTORM	54	
HEATWAVE	16	
Hundimiento	282	
HURRICANE	16	
Inspección	62	
Intoxicado	114	
Lahares	6	
LANDSLIDE	7771	
LEAK	45	
LIQUEFACTION	2	
Materiales peligrosos	8	
Oleaje	75	
OTHER	754	
Otros	101	
PANIC	7	
PLAGUE	39	
POLLUTION	293	
RAIN	691	
SEDIMENTATION	3	
SNOWSTORM	2	
Socavamiento	308	
SPATE	65	
STORM	93	
STRONGWIND	687	
STRUCTURE	1771	
SURGE	101	
TORNADO	2	
TSUNAMI	5	
TOTAL	39248	

