
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	21	
AVALANCHE	2	
BIOLOGICAL	2	
COASTLINE	5	
DROUGHT	26	
EARTHQUAKE	239	
ELECTRICSTORM	17	
EPIDEMIC	160	
ERUPTION	68	
EXPLOSION	83	
FIRE	1345	
FLOOD	1554	
FORESTFIRE	539	
FROST	56	
HAILSTORM	19	
HURRICANE	5	
LANDSLIDE	1627	
LEAK	17	
PANIC	1	
PLAGUE	18	
POLLUTION	81	
RAIN	841	
SEDIMENTATION	5	
SPATE	359	
STORM	211	
STRONGWIND	157	
STRUCTURE	59	
SURGE	31	
TORNADO	3	
TOTAL	7551	

