
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
AIRCRAFT CRASH	1	
ANIMAL INCIDENT	46	
CONFLICT	21	
DROUGHT	574	
DROWNING	1212	
ELECTROCUTION	157	
EPIDEMIC	302	
FIRE	1248	
FLOOD	742	
FOREST FIRE	41	
LANDSLIDE	63	
LIGHTNING	19	
MUDSLIDE	13	
PLAGUE	1	
RAINS	48	
ROAD ACCIDENT	4245	
STORM	2	
STRUCTURAL COLLAPSE	35	
SUBSIDENCE	3	
TERROR ATTACK	9	
THUNDERSTORM	20	
WINDSTORM	115	
TOTAL	8917	

