
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
Avalanche	4	
Cold Wave	5	
Earthquake	36	
Erosion	95	
Explosion	1	
Flash Flood	118	
Flood	91	
Forest Fire	1274	
Freezing Rain	2	
Hail	2	
Heavy Rain	51	
Heavy Wind	8	
High Waves	2	
Hurricane	1	
Landslide	76	
Lightning	1	
Montagne Wave	2	
Rain	15	
River Flood	43	
Sandstorm	16	
Sand Storm	1	
Slippery Road	12	
Snowstorm	13	
Snow Storm	89	
Storm	64	
Thunderstorm	9	
Torrent	39	
Windstorm	10	
Wind Storm	18	
Winter Storm	316	
TOTAL	2414	

