
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	501	
ACCIDENTE	1	
AHOGAMIENTO	1282	
BIOLOGICAL	3	
Búsqueda	28	
BÚSQUEDA	3	
Caída de Arbol	487	
CAÍDA DE ARBOL	139	
COASTLINE	1	
COLAPSO ESTRUCTURAL	33	
DESLIZAMIENTO	63	
Desprendimiento de Techo	35	
DESPRENDIMIENTO DE TECHO	27	
DROUGHT	15	
EARTHQUAKE	72	
ELECTRICSTORM	83	
EPIDEMIC	32	
EXPLOSION	59	
EXPLOSIÓN	2	
FIRE	976	
FLOOD	1903	
FORESTFIRE	61	
HAILSTORM	1	
INCENDIO	25	
INUNDACIÓN	94	
LANDSLIDE	625	
LEAK	17	
NAUFRAGIO	108	
OTHER	103	
POLLUTION	10	
RAIN	50	
Rescate	8	
RESCATE	4	
SPATE	1	
STORM	5	
STRONGWIND	524	
STRUCTURE	515	
SURGE	67	
TORNADO	9	
Traslados	8	
TOTAL	7980	

