
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
BIRD INFESTATION	17	
COASTAL EROSION	65	
DROUGHT	36	
DROWNING	468	
DRY SPELL	13	
EPIDEMIC	48	
EXTREME TEMPERATURE	2	
FIRE	580	
FLOOD	149	
INDUSTRIAL DISASTER	2	
LAND DEGRADATION	4	
LIGHTNING	66	
LOCUST	30	
RAIN OUT OF SAISON	3	
ROAD ACCIDENT	4278	
SINKING	43	
STORM	13	
STRONG WIND	29	
STRUCTURAL COLLAPSE	144	
SWELL	29	
WILD FIRE	1474	
TOTAL	7493	

