
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	1	
BIOLOGICAL	27	
Disease	6	
DROUGHT	3	
EARTHQUAKE	92	
ELECTRIC STORM	5	
Emission/Leak	14	
EPIDEMIC	10	
ERUPTION	6	
EXPLOSION	7	
Explosions	6	
FIRE	34	
FLASH FLOOD	34	
FLOOD	205	
Flooding	1088	
FOREST FIRE	13	
FROST	1	
HAIL	5	
Harmful Animals	57	
HEAT WAVE	3	
Heavy Rains?	1	
HEAVY RAINS	22	
HIGH TIDE	1	
High Winds	3	
HURRICANE	4	
LANDSLIDE	43	
LEAK	11	
Lightning	1	
Major Accident	12	
Major Accidents	3	
Mini Tornado	1	
Mud Volcano	3	
OTHER	33	
PLAGUE	24	
POLLUTION	8	
Rough Seas	10	
Spill	12	
STORM	52	
Storm Surge	1	
STRONG WINDS	15	
STRUCT.COLLAPSE	2	
Thunderstorm	1	
Tornados	1	
	32	
TOTAL	1913	

