
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	243	
ANIMAL ATTACK	46	
CONTAMINATION	3	
DROUGHT	640	
DROWNING	70	
EARTHQUAKE	17	
EPIDEMIC	284	
FAMINE	31	
FIRE	270	
FLASH FLOOD	2	
FLOOD	1331	
FOREST FIRE	3	
HAILSTORM	643	
HEAT WAVE	1	
INTOXICATION	7	
LANDSLIDE	332	
LIGHTNING	106	
MUDSLIDE	28	
OTHER	39	
PLAGUE	5	
RAINS	66	
RAINSTORM	123	
STORM	451	
STRUCTURAL COLLAPSE	1	
THUNDERSTORM	21	
TORNADO	1	
WINDSTORM	83	
TOTAL	4847	

