
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Event	 DataCards	
ACCIDENT	84	
ALLUVION	49	
ARBOL CAIDO	26	
A. TRANSITO	4	
AVALANCHE	1	
BIOLOGICAL	26	
COASTLINE	4	
Desaparecido (S)	9	
DROUGHT	18	
EARTHQUAKE	122	
ELECTRICSTORM	9	
EPIDEMIC	175	
EXPLOSION	116	
FIRE	872	
FLOOD	2417	
FOG	1	
FORESTFIRE	439	
HAILSTORM	7	
HEATWAVE	2	
HURRICANE	9	
LANDSLIDE	1466	
LEAK	109	
LIQUEFACTION	15	
Muerte por Inmersión	72	
OTHER	78	
PANIC	2	
PLAGUE	15	
POLLUTION	72	
RAIN	418	
SEDIMENTATION	5	
SNOWSTORM	1	
SPATE	90	
STORM	74	
STRONGWIND	176	
STRUCTURE	165	
SURGE	30	
TOTAL	7178	

