
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1899	223	0	3	0	3	17	4568	71	31	10	0	0	0	0	0	0	0	
1900	186	0	0	4	18	128	252	1561	0	351	0	0	0	0	0	0	0	
1905	1	0	0	2	0	0	18	0	0	0	0	0	0	0	0	0	0	
1946	1	0	0	0	0	1	0	9	0	3	0	0	0	0	0	0	0	
1966	1	0	0	0	0	1	0	7	0	3	0	0	0	0	0	0	0	
2015	217	0	0	0	81	96	22	2247	1796	151	0	0	0	0	0	0	0	
2016	116	0	0	0	5	6	20	566	203	0	0	0	0	0	0	0	0	
2017	1039	1	0	0	0	0	0	5827	4246	0	0	0	0	0	0	0	0	
2018	483	0	9	133	242	125	7359	1179	935	422	0	0	0	0	0	0	0	
TOTAL	2267	1	12	139	349	374	12239	11467	7211	940								

