
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1866	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1877	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1878	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1955	5	75	502	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	
1963	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	5300000	0	0	0	0	0	0	
2004	7	33	680	0	40	27735	83205	79538	0	2015	889000000	2389810000	55	3	619.9	14391	0	
2005	8	2	0	0	287	5282	5961	78170	0	7148	75478000	0	14	2	0	0	171799	
TOTAL	27	116	1182		327	33017	94166	157708		9163	969778000	2389810000	69	5	619.9	14391	171799	

