
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1997	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	15	14	464	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
2009	64	201	0	0	0	0	0	1539	0	0	0	0	0	0	0	0	0	
2010	8	8	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
2014	76	52	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	
2015	124	161	0	0	0	0	27	880	0	0	0	0	0	0	0	0	0	
2016	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	302	444	464				31	2637										

