
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	1	0	0	0	0	45	0	225	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	4	0	20	0	0	0	0	0	0	0	0	0	
2003	11	0	0	0	1	24	0	125	0	0	0	0	0	0	0	0	0	
2004	7	0	0	0	1	20	0	179	0	0	0	0	0	0	0	0	0	
2005	15	0	0	0	1	13	0	74	0	1	0	0	0	0	0	0	0	
2006	87	11	0	0	16	1440	0	7278	0	70	0	0	0	0	0	0	0	
2007	26	3	4	0	41	83	0	1422	0	0	0	0	0	0	0	0	0	
2008	21	0	0	0	2	53	0	326	0	0	0	0	0	0	0	0	0	
2009	10	0	3	0	7	56	0	754	0	330	0	0	0	0	0	0	0	
2010	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	3	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	187	17	8		69	1742		10403		401								

