
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1974	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1980	17	125	248	0	11604	13414	0	0	0	0	0	0	68	1	0	1000	0	
1988	31	744	6566	0	21744	41076	0	0	0	0	0	2300000	2387	0	0	1215	0	
1993	11	1	11	0	72	451	0	2409	0	0	0	14442000	0	0	0	0	0	
1994	1	0	12	0	84	287	0	623	0	0	0	3520700	5	0	0	0	0	
1995	1	0	0	0	4	0	0	18	0	0	0	0	0	0	0	0	0	
1997	18	0	1	0	196	60	0	1489	0	0	0	2071000	0	0	0	0	0	
2001	4	2	0	0	3	0	0	0	0	0	0	500000	1	0	0	0	0	
2003	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	6	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	117	9	184	0	1102	1692	0	35057	8522	0	0	557920000	315	7	0	0	0	
2012	10	1	0	0	2	6	0	42	10	0	0	0	0	0	0	0	0	
2013	5	0	25	0	1	20	0	98	5	0	0	0	4	0	0	0	0	
TOTAL	227	883	7049		34813	57030		39736	8537			580753700	2780	8		2215		

