
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1973	5	6	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	
1974	3	1	51	0	70	107	0	0	0	0	0	0	0	0	0	0	0	
1975	4	4	22	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1976	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23000	0	0	
1977	8	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	
1978	6	2	6	0	1	43	0	0	0	0	0	0	0	0	0	0	0	
1979	4	0	0	0	0	17	0	0	0	0	0	50000	0	0	0	0	0	
1980	5	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	0	
1981	3	0	0	0	1	21	0	0	0	0	0	180000	1	0	0	0	0	
1982	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	3	0	0	0	0	1	0	0	0	0	0	315000	19	0	0	0	0	
1984	11	4	10	0	32	353	0	0	0	0	0	235000	4	0	0	0	0	
1985	10	2	0	0	20	52	0	0	0	0	0	80000	5	0	0	5	0	
1986	12	11	25	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1987	7	2	2	0	0	206	0	0	0	0	0	50000	4	0	0	0	0	
1988	9	2	7	0	0	34	0	0	0	0	0	26	0	0	0	0	0	
1990	2	0	0	0	0	4	0	3300	0	0	0	0	1	0	0	0	0	
1991	13	9	11	0	2	149	0	0	0	0	0	250000	1	0	0	0	0	
1992	8	4	3	0	1	58	0	0	0	0	0	0	0	0	0	2	0	
1993	22	17	5	0	8	405	0	0	0	0	0	694000	0	0	0	0	0	
1994	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	4	1	0	0	25	1	0	0	0	0	0	12600000	0	0	0	53	0	
1996	5	15	0	0	0	47	0	135	0	0	0	0	0	0	0	0	0	
1997	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	11	13	6	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	
2000	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	
2001	7	2	0	0	10	481	0	497	0	0	0	1400000	1	0	0	0	0	
2002	13	3	1	0	11	294	0	0	0	0	0	0	1	0	0	0	0	
2003	52	25	144	0	231	242	0	2029	0	0	0	38020000	16	1	0	1	0	
2004	10	1	0	0	4	172	0	0	0	0	0	0	9	1	0	0	0	
2005	14	3	14	0	4	356	0	0	0	0	0	0	15	0	0	0	0	
2006	7	0	2	0	50	103	0	0	0	0	0	6300000	0	0	43	0	0	
2007	26	8	29	0	22	90	0	200	0	0	0	5200000	16	0	196	0	0	
2008	47	7	19	0	3	488	0	3151	17	0	0	2200000	18	1	125.3	5	0	
2009	45	16	62	0	442	1140	0	9994	0	0	0	229450000	25	2	0	0	0	
2010	40	3	17	0	74	1490	0	8423	0	0	0	30090000	0	0	1675	0	0	
2011	32	5	36	0	1001	979	0	11086	5486	0	0	88630000	38	0	840.2	0	0	
2012	43	12	16	0	42	1145	0	6611	221	0	0	381940000	307	1	67	1006	0	
2013	9	1	1	0	1	124	0	653	15	0	0	5050000	5	0	0	0	0	
TOTAL	508	184	497		2056	8712		46079	5739			802834026	486	6	25946.5	1140		

