
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1991	1	33	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	
1994	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	20	0	0	0	0	0	12004	0	0	0	0	0	0	0	0	0	
1999	3	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	5	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	
2002	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
TOTAL	13	179						12095										

