
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	15	44	0	0	0	0	0	625	0	0	0	0	0	0	0	0	0	
1981	11	50	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	
1982	8	44	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	
1983	22	78	0	0	0	0	0	994	0	0	0	0	0	0	0	0	0	
1984	18	68	0	0	0	0	0	1076	0	0	0	0	0	0	0	0	0	
1985	17	100	0	0	0	0	0	910	0	0	0	0	0	0	0	0	0	
1986	18	97	0	0	0	0	0	1787	0	0	0	0	0	0	0	0	0	
1987	17	93	0	0	0	0	0	3660	0	0	0	0	0	0	0	0	0	
1988	14	72	0	0	0	0	0	4010	0	0	0	0	0	0	0	0	0	
1989	11	53	0	0	0	0	0	6252	0	0	0	0	0	0	0	0	0	
1990	8	38	0	0	0	0	0	2230	0	0	0	0	0	0	0	0	0	
1991	15	75	0	0	0	0	0	7213	0	0	0	0	0	0	0	0	0	
1992	9	49	0	0	0	0	0	5163	0	0	0	0	0	0	0	0	0	
1993	17	77	0	0	0	0	0	9039	0	0	0	0	0	0	0	0	0	
1994	10	56	0	0	0	0	0	4121	0	0	0	0	0	0	0	0	0	
1995	7	30	0	0	0	0	0	1452	0	0	0	0	0	0	0	0	0	
1996	15	67	0	0	0	0	0	5201	0	0	0	0	0	0	0	0	0	
1997	10	50	0	0	0	0	0	2814	0	0	0	0	0	0	0	0	0	
1998	10	46	0	0	0	0	0	4223	0	0	0	0	0	0	0	0	0	
1999	10	49	0	0	0	0	0	1952	0	0	0	0	0	0	0	0	0	
2000	30	350	0	0	0	0	759	4680	0	0	0	0	0	0	0	0	0	
2001	43	749	0	0	0	0	13827	8108	0	0	0	0	0	0	0	0	0	
2002	23	353	0	0	0	0	185	8186	0	0	0	0	0	0	0	0	0	
2003	72	1122	0	0	0	0	8729	19776	0	0	0	0	0	0	0	0	0	
2004	55	775	0	0	0	0	9460	16987	0	0	0	0	0	0	0	0	0	
2005	50	823	0	0	0	0	4108	7818	0	0	0	0	0	0	0	0	0	
2006	70	529	0	0	0	0	18713	16353	0	0	0	0	0	0	0	0	0	
2007	46	443	0	0	0	0	2551	10942	0	0	0	0	0	0	0	0	0	
2008	42	539	0	0	0	0	11999	9270	0	0	0	0	0	0	0	0	0	
2009	49	1703	0	0	0	0	1736	5078	0	0	0	0	0	0	0	0	0	
2010	34	217	0	0	0	0	801	10286	0	0	0	0	0	0	0	0	0	
2011	36	173	0	0	0	0	783	3324	0	0	0	0	0	0	0	0	0	
2012	31	368	0	0	0	0	687	10448	0	0	0	0	0	0	0	0	0	
2013	33	201	0	0	0	0	268	3916	0	0	0	0	0	0	0	0	0	
2014	30	200	0	0	0	0	16248	2249	0	0	0	0	0	0	0	0	0	
TOTAL	906	9781					90854	201187										

