
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	3	0	0	0	0	0	120	240	0	0	0	0	0	0	0	0	0	
1992	4	0	0	0	0	0	0	0	0	0	0	1750000	0	0	0	0	0	
1993	1	0	0	0	0	0	80	160	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	160	320	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	40	80	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	120	240	0	0	0	0	0	0	0	0	0	
2000	3	0	0	0	1	4	200	631	0	0	0	1000000	0	0	1060	0	0	
2001	1	0	0	0	0	0	0	222	0	0	0	0	0	0	432	0	0	
2002	87	0	0	0	0	0	0	0	0	0	0	63516000	14	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	40	80	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	3200	0	0	0	0	2500000	0	0	0	0	0	
2007	5	5	1	0	0	0	126	440	0	0	0	0	0	0	0	0	0	
2008	2	0	0	0	0	0	80	160	0	0	0	0	0	0	0	0	0	
2009	2	0	0	0	0	0	80	160	0	0	0	0	0	0	0	0	0	
TOTAL	117	5	1		1	4	4246	2733				68766000	14		1492			

