
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1962	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	85	0	
1975	9	5	21	0	0	0	0	0	0	0	0	0	0	0	0	162	0	
1976	7	7	1	0	0	0	0	0	0	0	0	0	0	0	0	66	0	
1978	8	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	13	10	7	0	0	0	0	0	0	0	0	0	0	0	0	103	0	
1980	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	5	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	3	2	0	0	1	0	32	0	0	0	0	2003000	0	0	0	0	0	
1999	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	
2001	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	
2003	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	4	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
2005	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	111	0	
2006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
TOTAL	92	64	54		2	10	32					2003000			4	615		

