
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1978	1	10	40	0	6	50	300	300	0	40	0	0	0	0	0	0	0	
2004	1	150	1500	0	0	300	18000	1800	0	1500	0	0	0	0	0	0	0	
2005	2	125	236	0	84	117	702	702	0	262	0	630000000	0	0	0	0	0	
2006	5	0	0	0	103	81	78	150	78	72	0	0	0	0	0	0	0	
2007	1	2	9	0	0	11	11	106	0	9	0	0	0	0	0	0	0	
2008	2	80	5	0	52	935	612	5612	50	146	0	0	0	0	0	0	0	
2009	2	8	7	6	100	336	2	1061	1	1	0	0	4	1	358	0	1	
2010	21	5	75	0	1853	1928	1358	4610	616	2471	0	0	6	0	0	0	2	
2011	5	7	23	0	15	2595	11518	11515	22	119	0	0	0	0	0	0	0	
2012	2	80	5	0	189	56	300	338	338	38	0	0	0	0	0	0	0	
2013	14	103	83	2	1514	5305	12555	18047	0	1530	0	0	0	0	0	0	4	
2015	3	15	0	2	1606	1886	11106	11311	539	539	0	10500000000	330300000	585360000	0	500000000	22000000000	
2016	23	83	37	9	1520	2388	1242	2610	1084	2093	0	150400000	0	0	0	0	0	
2017	3	10	40	0	36	128	292	766	231	231	0	0	0	0	0	0	0	
2019	3	0	0	0	0	20	305	52	120	0	0	0	0	0	0	0	0	
2020	1	50	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	89	728	2070	19	7078	16136	58381	58980	3079	9051		11280400000	330300010	585360001	358	500000000	22000000007	

