
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2001	1	14	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	4	33	59	0	0	0	24	16	0	0	0	0	0	0	0	0	0	
2010	4	33	62	0	0	5	59	52	0	6	0	0	0	0	0	0	0	
2012	2	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	4	46	7	0	0	0	20	0	0	0	0	0	0	0	0	0	0	
2014	2	14	9	0	0	0	6	17	0	8	0	0	0	0	0	0	0	
2015	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	2	5	38	0	0	0	0	32	0	28	0	0	0	0	0	0	0	
TOTAL	20	164	200			5	109	117		42								

