
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	
2000	15	0	0	0	0	0	600	0	0	0	232500000	0	0	0	0	4455	0	
2001	37	0	0	0	0	0	2720	0	0	0	12000	0	0	0	0	300	0	
2006	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	62						3320				232512000					5755		

