
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	
1981	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1986	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	75	
1987	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	
1988	3	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	
1989	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	
1992	2	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	
1993	3	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	100	
1995	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	2	0	12	0	12	0	0	0	0	0	0	0	0	
2001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
2004	3	0	0	0	2	0	13	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	5	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	
2008	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2009	2	0	0	0	1	1	2	10	0	0	0	0	0	0	0	0	0	
2010	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
2011	2	0	0	0	1	1	14	0	1	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	1	4	0	0	4	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	3	0	0	0	0	2	4	4	0	0	0	0	0	0	0	0	0	
2016	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	56	6	3		11	18	69	21	30	5							179	

