
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	800000	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	5	0	0	0	0	0	0	24000	0	0	0	0	0	0	0	0	0	
2008	4	0	0	0	0	0	3910	0	0	0	0	0	0	0	3000	0	0	
2010	3	0	0	0	0	0	0	1485	0	0	0	0	0	0	570	0	0	
2012	3	0	0	0	0	0	0	1695	0	0	0	0	0	0	188	0	0	
TOTAL	26						3910	27180			800000				3758			

