
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1975	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	50	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	1000	
1985	2	2	0	17	40	0	0	0	0	0	0	0	0	0	0	0	0	
1986	3	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	1	0	0	0	0	0	600	0	0	0	0	0	0	80	0	0	
1997	3	2	0	0	4	0	3500	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	0	0	0	17	0	1740	0	0	0	0	0	0	0	0	0	0	
2001	3	0	0	0	0	5	180	0	0	0	0	0	0	0	0	0	0	
2003	4	2	6	0	14	0	60	0	0	0	0	0	0	0	0	0	0	
2005	3	5	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	5	0	0	0	0	7000	1200	0	0	0	0	0	0	0	0	0	
2007	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	17	15	0	1	5	20	1990	20	0	0	0	0	1	0	68.8	52	0	
2009	20	11	1	0	0	0	18110	1	0	0	0	0	0	0	3401	88	0	
2010	68	19	0	0	5	73	68040	11110	0	0	45289012.774	320192500	0	0	11930.6	5	0	
2011	28	36	0	0	53	101	11665	3895	0	85	50000	351000	0	0	2900.5	13	0	
2012	54	17	0	0	54	90	72005	7200	0	0	0	0	2	0	11979	108	0	
2013	37	0	0	0	0	92	89075	0	0	0	0	0	3	0	8238	802	0	
2014	40	17	55	0	367	103	105975	0	0	0	0	0	0	0	10965	320	0	
2015	4	0	0	0	0	0	23405	0	0	0	0	0	0	0	65	0	0	
TOTAL	309	210	66	28	606	484	423145	24026		85	45339012.77	320543500	6		49627.9	1388	1000	

