
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1997	35	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1360	0	5672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1220	0	3259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1253	0	4038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1468	0	13919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2153	514	17697	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1622	0	8616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1696	0	6303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1404	751	3623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1558	1677	19162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1709	1884	25815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1705	1064	10407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1528	678	4766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1587	989	6837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1627	588	3878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1737	746	7072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1363	332	2869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	1491	358	3520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	1427	287	2894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	2	2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	27945	9870	150498	1														

