
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1972	12	2	1	0	814	0	4060	265000	0	1050	32000000	0	0	0	0	0	36000	
1973	9	2	1	0	26	0	180	3	0	0	0	0	0	0	0	0	0	
1976	2	0	0	0	3	27	270	0	0	0	0	0	0	0	0	0	0	
1980	10	3	0	4	6	0	710	40660	0	760	0	0	0	0	0	0	0	
1981	1	1	0	0	2	0	0	9	0	0	0	0	0	0	7	0	0	
1982	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	
1983	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	5	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	4	0	0	0	0	20	28	0	0	0	0	0	0	0	0	0	0	
1989	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	91	715	16	600	6000	65000	190000	0	0	0	13000000000	3	0	0	0	0	
1992	1	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	280	50	0	12	0	0	0	0	0	0	0	
2000	1	0	0	0	1	0	32	300	0	0	0	0	0	0	20	0	4	
2001	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	200	0	
2002	3	9	0	8	4	4	608	29	0	20	0	0	1	0	0	0	0	
2004	5	1	1	0	17	0	75	4600	0	0	0	40000000	0	0	0	0	3000	
2005	4	0	0	0	3	0	20	3840	0	0	0	0	0	0	0	0	500	
2006	4	10	4	0	1	0	3	44	0	0	0	0	0	0	0	0	50	
2007	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	2	4	0	1	0	4	0	0	72	0	0	0	0	0	0	0	
2009	1	2	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	12	0	43	0	0	0	0	0	0	0	0	0	
2011	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	25	600	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	100	
TOTAL	83	135	728	59	1495	6066	71310	505734		1914	32000000	13040000000	4		27	200	39654	

