
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	5	3	0	0	0	0	0	0	0	0	0	0	1500	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	2	7	0	0	15	0	120	0	0	0	0	0	0	0	0	0	0	
1982	8	7	7	4	3	0	150	0	0	154	0	0	0	0	0	0	0	
1983	6	4	0	1	0	0	0	2	0	4	0	0	0	0	0	0	0	
1984	4	31	16	23	5	0	0	58	0	0	0	0	0	0	0	0	0	
1985	1	3	11	0	0	0	0	43	0	0	0	0	0	0	0	0	0	
1986	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	10	5	23	0	0	0	0	0	0	0	0	0	0	0	0	24000	
1988	4	3	13	0	0	0	0	0	0	0	0	0	0	0	0	26	0	
1989	3	0	0	0	7	0	15	5000	0	15	0	0	0	0	0	0	0	
1991	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	5	0	0	180	180	0	0	0	0	0	0	0	
1999	2	0	0	0	0	0	20	40	0	200	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	
2008	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	2	4	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	45	73	64	57	34	5	305	5393	180	553						1526	24000	

