
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	149	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	
1993	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	2	4	1	0	0	0	0	10	0	89	0	0	0	0	0	0	0	
2009	3	0	0	0	0	0	0	5	0	1200	0	0	0	0	0	0	0	
2011	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	9	3	5	0	0	8	0	41	0	0	0	0	0	0	0	0	0	
2013	7	0	7	0	0	0	0	50	0	0	0	0	0	0	0	0	0	
2014	9	0	7	0	0	0	0	7	0	200	0	0	1	0	0	0	0	
2017	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	54	16	226			8		113		3489			1					

