
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1921	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
1922	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1924	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1928	3	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	
1929	1	37	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1930	1	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	
1931	3	5	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	
1932	1	0	6	0	60	0	300	100	0	0	0	0	0	0	0	0	0	
1934	6	2	1	0	51	0	0	0	0	0	0	0	0	0	0	0	0	
1935	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1938	11	13	1	0	37	0	0	0	0	0	0	0	0	0	0	0	0	
1939	3	0	0	0	24	0	0	112	0	0	0	0	0	0	0	0	0	
1940	6	0	0	0	89	0	0	500	0	0	0	0	0	0	0	0	0	
1942	14	2	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	
1943	11	38	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	
1944	10	4	0	0	1053	0	0	350	0	0	0	0	0	0	0	0	1	
1945	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	4	10	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	
1947	2	15	0	0	1	0	0	120	0	0	0	0	0	0	0	0	0	
1948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1949	2	12	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	
1950	7	18	11	0	13	0	0	0	0	0	0	0	0	0	0	0	0	
1951	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1952	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1953	3	5	0	0	101	0	0	520	0	0	0	0	0	0	0	0	0	
1955	13	66	35	0	95	0	0	584	0	0	0	0	0	0	0	0	0	
1956	5	3	0	0	22	0	0	176	0	0	0	0	0	0	0	0	0	
1957	4	0	0	0	80	0	0	1500	0	0	0	0	0	0	0	0	0	
1958	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1959	1	0	0	0	48	0	0	1000	0	0	0	0	0	0	0	0	0	
1960	4	80	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
1961	5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	
1962	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	8	67	0	41	79	0	0	2132	0	0	0	0	0	0	0	0	0	
1964	5	3	0	0	1	0	0	800	0	0	0	0	0	0	0	0	0	
1965	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1966	7	28	0	0	1031	0	0	0	0	0	0	0	0	0	0	0	0	
1967	4	30	0	0	501	0	0	5	0	0	0	0	0	0	0	0	0	
1968	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1969	8	0	0	0	22	0	0	1175	0	0	0	0	0	0	0	0	0	
1970	26	82	2	126	555	0	1651	13950	0	1575	0	4500000	0	0	0	150	0	
1971	26	43	7	0	136	10	400	4150	0	0	250000	900000	0	0	0	0	0	
1972	23	75	18	0	517	550	3044	8910	0	3690	0	2743000	0	0	0	0	500	
1973	8	10	2	0	49	0	114	0	0	0	0	2200000	0	1	0	0	0	
1974	29	14	28	0	716	27	408	4830	0	680	0	11900000	1	0	0	0	0	
1975	28	60	16	30	909	667	5849	3957	0	3236	0	2400000	5	0	0	0	0	
1976	13	47	5	0	120	0	0	1600	0	0	0	4400000	0	0	0	0	1000	
1977	1	0	0	0	20	0	0	52	0	0	0	0	0	0	0	0	0	
1978	3	15	1	20	21	0	0	64	0	0	0	0	0	0	0	0	0	
1979	12	225	10	0	678	0	1700	580	0	4050	0	0	0	0	0	0	0	
1980	11	16	1	0	160	35	700	527	0	0	0	2500000	0	0	0	0	0	
1981	23	94	1000	30	351	0	209	3226	0	684	0	250000000	4	0	1500	0	30000	
1982	19	51	2	35	136	110	290	20	0	54	0	112000000	0	0	300	0	0	
1983	12	49	50	30	20	0	880	6500	0	0	0	0	0	0	0	0	0	
1984	18	21	0	0	351	0	300	965	0	0	0	95000000	1	0	0	0	30	
1985	5	0	4	0	45	5	454	100	0	230	0	1000000	0	0	0	0	0	
1986	16	3	4	0	137	100	1004	280500	0	0	0	170000000	0	0	0	0	200	
1987	8	36	9	0	184	0	2259	300060	0	32	0	500150000	0	0	0	0	0	
1988	38	50	0	14	101	10	310	7735	0	0	0	50000000	0	0	0	0	0	
1989	16	8	0	0	154	280	1681	1794	0	0	0	0	0	3	180	0	0	
1990	16	20	0	22	117	102	426	2942	0	260	6000000	15000000000	0	0	0	0	0	
1991	11	102	0	30	133	0	1256	822	0	0	0	0	1	0	50	200	0	
1992	5	1	0	5	2	50	123	1262	0	0	0	0	0	0	0	0	0	
1993	17	133	110	13	263	166	1022	2880	0	0	0	1383000000	1	0	170	0	6000	
1994	40	51	107	23	699	441	5968	12416	0	0	0	1400000000	5	0	1171	0	5000	
1995	23	4	5	4	146	500	10287	8173	0	23	0	2400000000	3	0	26	0	307	
1996	27	21	39	12	287	324	9976	5203	0	0	0	4130000000	3	1	533	0	0	
1997	20	1	12	4	118	185	15300	2928	0	0	0	5000000000	5	0	0	0	100	
1998	19	7	5	0	13	93	0	15106	24	0	0	103065079.69	0	0	26.7	0	16	
1999	38	57	62	65	1132	1759	5777	50766	0	674	0	1623187607.36	1	0	788	307	8	
2000	13	19	19	13	120	330	3205	9741	0	200	0	1599526.25	2	0	300	0	0	
2001	7	2	0	0	0	150	540	85	0	0	0	2863996	0	0	0	0	0	
2002	9	7	0	39	31	111	1245	66975	0	0	0	0	4	0	0	0	0	
2003	12	13	11	6	37	70	0	3975	0	0	0	0	1	1	350	0	1	
2004	18	0	0	0	29	348	0	10624	0	0	0	0	1	0	480	0	19	
2005	34	84	45	14	370	1025	1000	115295	0	0	0	0	13	0	565	0	13	
2006	21	12	4	2	70	423	0	10755	0	70	0	100000000	3	3	0	0	6	
2007	16	12	13	7	44	759	0	8921	0	0	0	0	1	2	1448.25	0	0	
2008	12	40	21	1	118	1509	100	12505	0	0	0	0	0	1	0	0	2	
2009	13	2	1	2	8	686	0	5100	0	0	0	0	0	2	0	0	2	
2010	32	27	6	7	181	2324	3	16445	0	0	0	0	2	1	0	500	0	
2011	37	53	27	7	179	2831	351	22127	0	0	0	0	3	0	0	0	0	
2012	33	29	19	22	17	864	3285	4385	0	0	0	0	1	1	0	0	6	
2013	59	14	14	9	33	717	165	24203	0	441	0	0	9	0	0	0	10	
2014	51	21	7	8	15	1426	27750	8263	0	0	0	0	1	2	42	21	0	
2015	45	101	88	13	224	634	505	10757	0	9	0	0	6	1	215	40	0	
2016	72	22	4	3	4	431	60	6231	0	256	0	0	2	0	159.5	0	0	
2017	143	353	465	86	366	3534	68	53987	0	1257	0	0	27	3	3132	5	0	
2018	9	5	0	0	16	108	0	8370	0	1050	0	0	3	0	20	0	0	
TOTAL	1363	2575	2397	743	13698	23694	109972	1152336	24	18471	6250000	32353409209.3	109	22	11456.45	1223	43221	

