
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1929	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1931	3	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	
1932	2	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1934	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1935	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1937	2	0	0	0	5	0	20	0	0	0	0	0	0	0	0	0	0	
1938	3	1	14	0	40	0	0	260	0	0	0	0	0	0	0	0	0	
1939	4	0	10	0	42	0	0	150	0	0	0	0	0	0	0	0	0	
1940	5	0	0	0	52	0	0	450	0	0	0	0	0	0	0	0	0	
1941	3	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1942	4	5	33	0	40	0	0	420	0	0	0	0	0	0	0	0	0	
1943	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1944	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	5	4	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	
1947	1	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	
1951	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1953	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	
1954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1955	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	
1957	4	0	0	0	22	0	0	110	0	0	0	0	0	0	0	0	0	
1958	4	0	0	0	120	0	0	1200	0	0	0	0	0	0	0	0	0	
1960	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1962	2	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1963	6	1	2	0	12	0	0	30	0	0	0	0	0	0	0	0	0	
1965	10	5	38	0	51	0	0	241	0	0	0	0	0	0	0	0	0	
1966	9	0	8	0	407	0	0	1950	0	0	0	0	0	0	0	0	0	
1967	12	3	0	0	260	20	0	2100	0	0	0	0	0	0	15	0	0	
1968	5	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	
1969	3	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1970	39	2	57	0	361	198	695	2127	0	50	0	7570000	4	0	0	0	0	
1971	14	5	146	0	50	1530	0	17689	0	0	0	3730000	2	1	0	0	0	
1972	20	4	22	0	485	140	1986	630	0	0	0	10750000	12	0	0	0	0	
1973	15	0	13	0	21	10	2320	0	0	0	0	6450000	3	0	0	0	0	
1974	18	27	37	0	480	52	2314	200	0	0	0	32300000	1	0	0	0	0	
1975	18	2	3	0	127	78	336	197	0	380	0	14000000	2	0	0	0	0	
1976	15	0	9	0	13	100	731	925	0	0	0	8000000	8	0	0	0	0	
1977	8	4	3	0	1	7	0	0	0	0	0	100000	0	0	0	0	0	
1978	11	0	0	0	290	20	0	0	0	0	0	7000000	0	0	0	0	0	
1979	13	0	7	0	46	88	134	0	0	0	0	9200000	4	0	0	0	0	
1980	14	20	0	0	105	40	0	0	0	0	0	227500000	0	0	4400	0	0	
1981	15	2	21	1	75	123	299	399	0	0	0	28000000	0	0	0	0	0	
1982	14	0	12	0	200	28	0	0	0	0	0	260150000	3	0	500	0	0	
1983	20	7	43	0	277	156	430	604	0	0	0	7200000	0	0	0	0	0	
1984	14	4	0	0	28	0	756	0	0	0	0	8000000	2	0	0	0	0	
1985	18	4	61	0	374	22	90	1140	0	0	0	2000000	7	1	80	0	0	
