
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1973	13	10	0	0	20	32	1268	0	0	1200	0	0	1	0	0	820	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
1983	22	1	0	0	53	14	582	0	0	431	0	0	0	0	0	0	0	
1987	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	68	0	0	0	184	149	133	0	30	0	705984	65000000	1	2	0	0	0	
1991	22	47	0	0	4332	7677	48036	0	1670	0	0	28000000000	0	0	0	0	0	
1992	9	1	0	0	1	8	1	0	0	0	0	0	0	0	0	0	0	
1993	12	0	0	0	0	350	30	0	0	0	0	0	2	1	0	0	0	
1994	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2002	2	0	0	0	5	5	9	0	0	0	0	0	0	0	0	0	0	
2003	5	0	0	0	57	79	228	0	0	0	0	0	2	0	0	0	0	
2004	23	3	0	0	0	304	0	0	0	59	0	39600000	90	1	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	10	0	0	0	21	31	172	0	0	0	0	0	4	1	0	0	0	
2009	25	16	0	7	743	1246	7956	0	0	0	0	0	0	1	0	0	0	
2011	7	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	
2012	117	0	0	0	756	2200	12476	0	0	69	0	0	193	26	0	0	0	
2016	15	0	0	0	0	36	140	4000	0	6	0	0	0	0	0	0	0	
2017	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	374	80		7	6172	12138	71050	4000	1700	1765	705984	28104600000	293	32		820		

