
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1984	1	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	
1985	12	0	0	0	0	0	841	0	0	0	73127	3690000	0	0	0	0	0	
1986	16	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	
1987	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	23	2	0	0	0	0	4713	0	0	0	0	0	0	0	0	0	0	
1993	19	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	
1994	32	0	0	0	0	0	12774	35	0	0	0	0	0	0	0	0	0	
1995	32	1	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	
1996	20	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	
1997	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	
1998	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	201	5					18738	35			73127	3690000						

