
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1984	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	2	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	115	70	0	0	0	0	0	0	50	0	0	0	0	0	0	0	
2010	2	31	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	3	8	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	14	213	89	26						50								

