
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1975	1	28	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	
1988	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	
1998	1	11	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	
2002	1	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	
2010	2	0	10	0	0	0	10	10	0	0	0	0	0	0	0	0	0	
2011	7	1	35	0	0	0	45	45	0	0	0	0	0	0	0	0	0	
2012	3	2	5	0	0	0	7	7	0	0	0	0	0	0	0	0	0	
TOTAL	19	48	59				91	91										

