
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1966	24	2	1	0	123	10	1200	1	0	0	0	1282900	0	0	0	0	0	
1967	8	0	5	0	2	1	0	72	0	0	0	487000	0	0	0	0	0	
1968	20	3	9	0	59	0	217	110	0	0	0	112100	1	0	0	0	0	
1969	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1970	25	2	21	0	29	2	0	0	0	0	0	277750	0	0	0	0	0	
1971	11	3	4	0	14	2	0	0	0	0	0	323000	0	0	10	0	0	
1972	20	2	24	0	148	4	0	0	0	0	0	1021085	0	0	0	0	0	
1973	9	1	2	0	15	0	0	0	0	0	0	154300	0	0	0	0	0	
1974	6	1	6	0	1	0	0	0	0	0	0	93000	0	0	0	0	0	
1975	26	6	18	0	45	15	0	0	0	0	0	4994800	0	0	0	0	0	
1976	5	0	0	0	22	0	17	0	0	0	0	43850	0	0	0	0	0	
1977	16	6	26	0	30	0	0	0	0	0	0	982500	0	0	0	0	0	
1978	22	6	4	0	24	8	0	3	0	0	0	1045000	0	0	24.1	0	0	
1979	8	4	1	0	17	0	0	0	0	0	0	526500	0	0	0	0	0	
1980	17	4	0	0	7	3	0	0	0	0	0	3781000	0	0	0	0	0	
1981	14	0	12	0	305	26	0	0	0	0	0	1590000	1	0	0	0	0	
1982	14	0	9	0	26	10	0	0	0	0	0	675000	0	0	0	0	0	
1983	9	3	6	0	31	3	0	0	0	0	0	50000	0	0	0	0	0	
1984	5	0	0	0	7	0	0	0	0	0	0	2582000	0	0	0	0	0	
1985	4	5	7	0	23	0	100	0	0	0	0	0	0	1	0	0	0	
1986	7	4	3	0	7	0	0	0	0	0	0	2110000	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	20000000	0	0	0	0	0	
1988	40	21	13	0	47	1	0	0	0	0	0	16641000	0	0	0	0	0	
1989	31	3	24	0	49	0	90	0	0	0	0	32093000	0	0	0	0	0	
1990	43	11	7	0	62	3	0	0	0	0	0	10433000	0	0	11.3	0	0	
1991	18	1	5	0	57	0	0	0	0	0	0	6035000	0	0	0	0	0	
1992	3	0	0	0	40	0	0	0	0	0	0	1000000	0	0	0	0	0	
1993	17	15	5	0	42	3	15	0	0	0	0	1350000	1	0	0	0	0	
1994	48	15	17	1	183	12	295	28	0	25	0	20474000	0	0	0	0	0	
1995	11	1	0	0	35	0	600	0	0	0	0	7910000	0	0	0	0	0	
1996	2	2	8	0	6	2	0	300	0	0	0	0	0	0	0	0	0	
1997	4	8	20	0	110	0	0	0	0	0	0	5000	0	0	0	0	0	
1998	16	3	1	0	28	0	0	40	0	0	0	11000000	0	0	87.5	0	0	
1999	11	11	9	0	77	0	0	0	0	0	0	2000000	0	0	0	0	0	
2000	6	15	4	0	1	0	0	0	0	0	0	0	0	0	262.5	0	0	
TOTAL	522	158	271	1	1673	105	2534	554		25		151072785	3	1	395.4			

