
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1967	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1977	3	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	3	3	2	0	0	0	0	0	0	0	0	175000	0	0	0	0	0	
1991	5	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	17	17	18		5							175000						

