
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
1982	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	5	14	20	0	42	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	25	0	0	0	0	140	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	5	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	
1996	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	6	15	3	0	12	21	0	0	0	0	0	0	0	0	30	0	0	
1998	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	3	0	0	2	0	0	0	2500	0	50	0	0	0	0	0	0	0	
2002	9	3	3	4	0	7	60	10000	0	60	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	5	0	0	0	1	38	1	150	0	1	4000	0	0	0	0	0	0	
2009	2	2	0	0	10	16	100	100	0	44	0	0	0	0	0	0	0	
2014	1	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	20	
2015	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	
2017	21	0	0	0	0	17	0	63	0	10	0	0	0	0	0	0	6415	
2018	33	2	0	1	2	10	4	42	0	0	0	0	0	0	0	0	5583	
2019	10	1	0	0	0	24	0	71	0	6	0	0	0	1	0	0	605	
TOTAL	122	58	28	7	107	137	165	12944		311	4000	150		1	30		12673	

