
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	
1993	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	4	1	2	0	0	6	0	0	0	6	0	0	0	0	0	0	0	
1995	3	0	0	0	0	146	0	20	0	0	0	200	0	0	10	0	0	
1996	5	2	2	0	3	8	0	0	0	0	0	0	0	0	0	0	64	
1997	3	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
2004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	12	6	33	0	1286	1480	0	0	0	0	0	0	0	0	0	2661	0.5	
TOTAL	38	9	51	2	1329	1640		20		6		200			10	2661	68.5	

