
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1958	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	2	0	0	0	0	0	75	0	0	0	0	0	0	600	0	0	
2007	4	0	0	0	174	0	0	2420	0	0	0	0	0	0	0	0	0	
2008	5	0	0	0	15	0	0	246	0	0	0	0	0	0	0	13	0	
2009	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0	
TOTAL	22	3			199			3473							600	13		

