
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1988	5	0	0	0	0	190	350	75	0	0	20000	50000	19	1	0	0	5000	
1991	2	25	185	0	2300	0	10000	0	0	0	60000000	300000000	0	0	0	0	0	
1993	3	4	0	0	1	50	5	300	0	350	0	0	0	0	0	0	0	
1994	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	4	1	1	0	7	0	30	0	0	20	0	0	0	0	0	0	6000	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	4	1	12	0	34	137	275	0	0	800	0	0	19	0	0	0	0	
1999	10	1	40	0	52	30	0	0	0	0	2000000	15000000	0	1	0	0	0	
2001	7	0	2	0	0	283	1400	0	0	0	0	0	0	0	0	0	0	
2003	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	4	1	0	0	17	194	2573	0	0	20	0	0	0	0	0	0	0	
2010	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
2011	6	1	19	3	31	1083	2355	5824	0	2180	0	0	1	0	0	0	0	
2012	96	45	186	0	7312	19710	26958	2444133	0	34038	0	0	255	0	0	0	0	
2013	6	0	0	0	6	298	1524	0	0	24	0	0	6	0	0	0	0	
2014	79	1	274	0	2834	7599	10294	63071	0	7591	0	0	334	5	0	0	0	
TOTAL	239	81	719	3	12594	29580	55764	2513403		45023	62020000	315050000	634	7			11000	

