
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1988	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1989	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
2001	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2005	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	40	200	0	0	0	0	0	0	0	0	0	0	
TOTAL	17	25	40		1	41	200						1					

