
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1988	34	3	2	0	123	145	984	2550	0	270	51300	141000	0	0	0	0	4000	
1989	26	0	0	0	8	2093	130	59400	0	150	113400	350000	0	0	0	0	0	
1990	21	1	0	1	0	0	300000	0	0	0	2050000	10250000	0	0	0	0	0	
1991	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	15	0	5	17	361	150	4805	700	0	80	200200000	101000000	0	0	0	0	0	
1993	12	0	0	0	20	400	4700	0	0	0	0	0	0	0	0	0	0	
1994	13	0	0	0	0	66	8000	273	0	0	160000	800000	0	0	0	0	0	
1995	30	6	7	3	18	879	5000	2500	0	1275	87939096	87712350	0	0	0	0	0	
1996	38	8	30	4	1090	2021	22376	5484	0	2456	1915000	11150000	1	0	0	0	0	
1997	39	6	9	12	91	383	20981	786	0	5949	0	0	0	0	0	30	0	
1998	65	19	501	3	645	919	27621	120696	0	32996	0	0	15	0	0	0	114000	
1999	82	3	2	19	500	1965	2325	24275	0	12288	1599999	12000000	1	0	6632	0	3000	
2000	62	0	0	0	0	1198	4800	87476	0	4527	276373	2072800	0	1	1000	0	10	
2001	17	0	0	0	8	1056	1355	20	0	1852	36000	250000	1	0	0	0	0	
2002	41	4	0	0	6	655	4630	2504	0	374	0	0	0	0	0	0	0	
2003	35	1	1	0	82	567	3245	1000	0	860	39475	300000	1	0	70	0	8200	
2004	38	0	116	0	40	1656	15120	1400	0	4132	15000	100000	1	1	0	0	0	
2005	55	0	163	0	7	4603	13160	12135	20	4210	38462	300000	4	1	25602	0	7000	
2006	42	0	0	0	5	701	8150	14640	0	2260	0	0	2	0	38.4	0	0	
2007	36	0	0	0	10	3711	40230	1000	0	6849	0	0	3	0	0	0	0	
2008	97	0	0	0	4	7839	34658	68000	0	6533	2366750	18934000	1	0	682	0	21730	
2009	21	0	0	0	0	1095	6325	20650	0	1963	197000	1574400	1	0	154	0	900	
2010	76	4	4	3	250	8625	22686	189516	0	15246	0	0	4	1	2216	0	2000	
2011	76	0	0	0	0	3968	51321	19750	0	5950	200000	1500000	1	0	1315	0	6000	
2012	62	0	0	0	4	1985	7560	3080	0	3588	0	0	6	0	8000	0	0	
2013	78	0	0	0	15	3988	22907	6786	0	2427	500000	4000000	0	1	364	0	1300	
2014	210	0	0	0	17	8868	11683	45384	0	9282	3205	25000	4	0	1595	0	0	
2015	230	4	1	2	341	10669	11405	79187	0	14282	0	0	7	1	7	0	7000	
TOTAL	1554	59	841	66	3645	70205	656157	769192	20	139799	297701060	252459550	53	6	47675.4	30	175140	

