
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1988	34	31	21	0	87	180	845	2	0	0	94000	235000	1	0	0	0	3070	
1989	29	26	3	0	128	91	610	12000	0	460	1250000	5000000	0	0	0	0	4050	
1990	13	9	5	2	43	0	35	0	0	0	844000	4220000	0	0	0	0	0	
1991	10	8	9	0	37	0	190	0	0	0	0	0	0	0	0	0	0	
1992	11	8	2	0	5	0	20	0	0	0	0	0	0	0	0	0	0	
1993	21	10	5	0	4	0	19	0	0	0	0	0	0	0	0	0	0	
1994	18	11	26	0	3	25	11	150	0	0	0	0	0	0	0	0	0	
1995	22	21	17	0	9	10	47	2000	750	0	4000	20000	0	0	0	0	40	
1996	53	32	140	25	34	125	1090	8975	0	450	350000	2000000	0	0	0	0	130	
1997	50	27	42	7	100	202	1493	2300	0	1375	0	0	0	0	0	0	5100	
1998	100	115	164	18	445	428	705	6780	0	3347	2500000	15000000	0	0	0	0	8180	
1999	76	24	13	0	36	148	249	520000	0	315	53333	400000	1	0	0	0	165	
2000	33	28	15	0	90	52	336	0	0	441	4000	30000	0	0	0	3	95	
2001	23	27	17	0	26	52	670	0	0	5	0	0	0	0	0	0	0	
2002	38	83	41	10	49	91	555	35000	0	420	0	0	0	0	0	0	900	
2003	36	32	15	0	51	361	2072	1085	0	880	0	0	0	0	0	0	25.5	
2004	45	16	9	0	41	53	468	310000	0	423	0	0	0	0	0	0	34090	
2005	56	45	79	0	92	194	4049	1065	25	2164	203174	1575000	0	0	0	0	40	
2006	41	22	11	3	79	41	1350	33350	0	320	0	0	1	0	0	0	12045	
2007	40	23	13	6	40	232	1952	13000	0	1462	10250000	82000000	2	0	0	0	12460	
2008	89	60	51	29	73	77	4536	67500	4	5265	0	0	0	0	0	0	76813	
2009	33	47	2	30	2	161	1064	72500	0	950	912500	6100000	2	0	0	0	3600	
2010	103	83	75	1	257	405	2417	266422	0	2934	1500000	10000000	4	0	0	0	93850	
2011	124	53	38	0	93	592	2181	316380	0	1044	0	0	2	0	9	0	21328	
2012	57	18	16	0	323	429	2584	93039	0	396	60000	500000	0	0	0	0	270	
2013	91	20	18	3	53	1128	1542	613582	100	1051	0	0	1	0	3.5	0	9450	
2014	269	39	27	3	171	2241	4086	596195	0	2866	123100	960000	0	1	0	0	33000	
2015	112	292	50	70	149	443	649	624412	0	1315	0	0	1	0	0	0	0	
TOTAL	1627	1210	924	207	2520	7761	35825	3595737	879	27883	18148107	128040000	15	1	12.5	3	318701.5	

