
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1915	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	27	2	10	0	83	139	310	1700	0	10	202120	404240	3	2	0	0	150	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	2	0	0	0	0	3	0	0	0	0	5000	10000	1	0	0	0	0	
1980	3	2	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	
1981	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	10	0	0	0	0	0	0	0	0	0	210	4000	0	0	0	0	0	
1983	1	0	0	0	2	0	0	0	0	0	5000	10000	0	0	0	0	0	
1987	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	5	0	0	0	0	0	0	100000	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	13	0	0	0	12	0	0	0	0	0	113576568	2101175000	0	0	0	0	0	
2000	2	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	
2004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	110	8	118	0	1072	6519	0	0	0	0	200	1900	175	19	0	0	0	
2010	10	0	0	0	10	229	0	880	0	0	0	0	0	0	0	0	0	
2011	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	352.5	0	0	
2013	2	0	0	0	3	15	9	0	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	5	0	0	0	0	0	500000	0	0	0	0	0	
TOTAL	209	12	128		1287	6910	319	2580		5010	113789098	2102205140	179	21	352.5		150	

