
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1969	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
1992	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	4	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	4	0	0	0	0	0	0	0	0	0	15527	295000	0	0	0	0	0	
2000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	86	0	30	0	0	0	0	416	0	0	1178468	21412800	0	0	100000	0	0	
2003	1	0	0	0	0	0	0	0	0	0	12000000	0	0	0	0	0	0	
2004	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	47	15	0	0	0	10	0	14034	0	0	9189187	170000000	0	0	0	0	0	
2006	85	0	1367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	22	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	81	0	2138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	63	0	1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	3	0	0	0	0	300	0	3001	0	0	0	0	0	0	0	0	0	
2013	8	0	0	0	0	310	0	3000	0	0	0	0	0	0	0	0	0	
2014	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
TOTAL	484	47	5970			620		20451			22383182	191707800	1	1	100000			

