
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1984	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	24	13	10	0	5	28	0	0	0	0	0	417000000	0	0	0	0	0	
1986	23	4	2	0	4	12	0	0	0	0	0	865000000	0	1	0	0	0	
1987	20	22	3	0	0	1	0	0	0	0	0	28000000	0	0	0	0	0	
1988	25	8	1	0	0	0	0	0	0	0	0	445000000	0	0	0	0	0	
1989	26	6	41	0	0	93	0	0	0	0	0	454000000	0	0	0	0	0	
1990	28	17	18	0	0	2	0	0	0	0	0	5529000000	0	0	0	0	0	
1991	12	17	4	0	2	0	0	0	0	0	0	1120000000	0	0	0	0	0	
1992	21	10	73	0	0	4	0	0	0	0	0	3327000000	0	0	0	0	0	
1993	65	18	19	0	2	10	0	0	0	0	15000000	4474000000	0	0	0	0	0	
1994	113	10	56	0	1	10	0	0	0	0	0	45091500000	0	0	0	0	0	
1995	86	50	76	0	1	2	0	0	0	0	0	3417000000	0	0	0	0	0	
1996	69	12	12	0	0	12	0	0	0	0	0	28068000000	0	0	0	0	0	
1997	78	11	30	0	60	0	0	0	0	0	0	75238054000	0	0	0	0	0	
1998	67	16	53	0	0	17	0	0	0	0	0	162697075000	0	0	0	0	0	
1999	54	41	0	0	0	0	0	0	0	0	0	3000000000	0	0	8	0	0	
2000	26	25	31	0	0	0	0	0	0	0	0	8640000000	0	0	0	0	0	
2001	64	8	54	0	9	7	0	0	0	0	0	1505175000000	0	0	46	0	0	
2002	30	33	302	0	0	71	0	0	0	0	1000000	2784000000	0	0	0	0	0	
2003	41	46	30	0	0	0	0	0	0	0	0	7583000000	0	0	0	0	0	
2004	10	14	0	0	0	0	0	0	0	0	0	8500000000	0	0	0	0	0	
2005	48	83	255	0	0	0	0	0	0	0	0	6895000000	0	0	0	0	0	
2006	58	15	16	0	11	9	0	85	0	0	0	9740000000	0	0	0	6000	0	
2007	233	33	42	0	0	16	0	0	0	0	0	248810000000	0	0	319	6050	0	
2008	156	81	140	0	7	1	0	8000	0	0	0	91565000000	0	0	956	15173	0	
2009	11	1	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	
2010	39	27	33	0	0	0	0	0	0	0	0	0	0	0	265	126	0	
2011	6	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	1435	621	1309		135	295		8085			16000000	2223862629000		1	1744	27349		

