
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1975	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	5	0	0	0	0	0	0	3700	0	0	0	0	0	0	0	0	0	
1993	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	14	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	7	19	15	0	0	0	0	0	0	0	0	4000000000	0	0	0	0	0	
1999	11	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	28	11	0	0	0	0	0	5500	0	0	0	0	0	0	0	0	0	
2001	24	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	27	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	18	20	0	0	0	0	0	2500	0	0	240000	0	0	0	0	0	0	
2005	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	39	36	48	0	0	4	0	160009	0	0	0	0	0	0	0	0	0	
2008	60	21	40	0	0	10	0	0	0	0	0	611300000000	0	0	0	0	0	
2009	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	13	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	321	382	142			14		171709			240000	615300000000						

