
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	21	0	59	0	1	1	92	40	0	0	0	50691999.5	0	0	0	0	0	
2002	4	0	6	2	0	0	2	0	0	0	0	0	0	0	0	0	0	
2003	12	0	20	3	0	0	2	2	0	0	0	0	0	0	0	0	0	
2004	1	0	0	0	0	0	1	0	0	0	0	150000	0	0	0	0	0	
2005	35	0	241	7	0	1	15	1	0	0	0	4228600	0	0	0	0	0	
2006	55	0	57	3	0	1	14	0	0	0	0	55422500	0	0	0	0	0	
2007	45	0	197	7	2	8	3	1	0	0	0	445000	0	0	0	0	0	
2008	13	0	64	0	0	1	17	6	0	0	0	590000	0	0	0	0	0	
2009	15	0	20	2	0	0	0	5	0	0	0	421000	0	0	0	0	0	
2010	9	0	9	24	0	0	3	0	0	0	0	29810000	0	0	0	0	0	
2011	21	0	120	4	0	1	252	0	0	0	0	207030000	0	0	0	0	0	
2012	38	0	83	3	2	1	35	4	0	0	0	3500000	0	0	0	0	0	
2013	10	3	8	0	0	0	6	8	0	0	0	5000	0	0	0	0	0	
2014	102	55	66	2	221	0	869	3473	0	0	0	57528000	0	0	0	0	0	
2015	27	5	16	2	0	1	3	55	0	0	0	50000	0	0	0	0	0	
TOTAL	409	63	966	59	226	15	1314	3595				409872099.5						

