
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2003	66	0	0	0	0	0	0	0	0	0	0	0	0	0	893705	0	0	
2004	326	0	0	0	0	0	0	0	0	0	0	0	0	0	275442	0	0	
2005	221	0	0	0	0	0	0	0	0	0	0	0	0	0	323933	0	0	
2006	183	0	0	0	0	0	0	0	0	0	0	0	0	0	70202	0	0	
2007	152	0	0	0	0	0	0	0	0	0	0	0	0	0	58212	0	0	
2008	198	0	0	0	0	0	0	0	0	0	0	0	0	0	103762	0	0	
2009	101	0	0	0	0	0	0	0	0	0	0	0	0	0	18975	0	0	
2010	43	2	0	0	0	0	0	172000	0	0	0	0	0	0	20856	0	0	
2011	219	0	0	0	0	0	0	0	0	0	0	0	0	0	48313	0	0	
2012	263	0	0	0	0	0	0	233167	0	0	0	0	0	0	43067	0	0	
2013	66	0	0	0	0	0	0	2223225	0	0	0	0	0	0	4068	0	0	
2014	7	0	0	0	0	0	0	169977	0	0	0	0	0	0	0	0	0	
2015	7	0	0	0	0	0	0	232348	0	0	0	0	0	0	434	0	0	
2017	19	0	0	0	0	0	0	983096	0	0	0	0	0	0	0	0	0	
2018	130	0	0	0	0	0	0	7798763	0	0	0	0	0	0	0	0	0	
2019	123	0	0	0	0	0	0	3872358	0	0	0	0	0	0	22314.85	0	0	
TOTAL	2124	2						15684934							1883283.85			

