
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1815	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1822	1	4011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1825	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1834	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1841	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1843	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856	1	2806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1883	2	36543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1892	2	1712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1894	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1909	1	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1919	2	10160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1930	1	1369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1931	1	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1934	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1936	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1939	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	1	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	2	2732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1966	3	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	
1975	1	0	0	0	0	0	644	0	0	644	0	0	0	0	0	0	0	
1976	5	26	0	3	0	0	0	0	0	0	0	0	1	0	350	0	0	
1977	1	155	65	0	0	0	17	65	0	17	0	0	0	0	0	0	0	
1979	2	234	46	0	0	0	0	46	0	0	0	0	6	1	616	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	7000	0	0	7000	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	6500	0	0	6500	0	0	0	0	0	0	0	
1988	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	2	3	12	0	0	0	0	3464	0	0	0	0	0	0	0	0	0	
1994	2	7	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	
1997	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	3	2	7	0	6	0	21534	7	0	21534	0	0	0	2	46000	0	6	
2003	4	0	0	0	0	0	1722	0	0	1722	0	0	0	0	1536	0	0	
2004	5	2	7	0	0	0	35916	7	0	35916	0	0	0	0	0	0	0	
2005	2	0	0	0	0	0	23251	1050	0	23251	0	0	0	0	0	0	0	
2006	11	2	0	0	1	0	45263	0	0	45263	0	0	0	0	0	0	0	
2007	5	0	1241	0	0	0	19818	1241	0	19818	0	0	0	0	0	0	0	
2008	7	0	0	0	0	0	0	9708	0	0	0	0	0	0	0	0	0	
2010	8	390	791	4	2475	158	506794	791	0	506794	0	0	366	15	0	0	0.3	
2011	4	0	0	0	1	0	9699	0	0	9699	0	0	0	0	0	0	0	
2012	7	0	0	0	0	0	192	263	0	192	0	0	0	0	0	0	0	
2013	8	5	3	0	0	0	46617	3003	0	46617	0	0	0	0	0	0	0	
2014	11	24	1429	0	12404	0	120839	8757	0	120839	0	0	251	9	5146	0	0	
2015	13	0	0	0	7	0	13454	33325	0	13454	0	0	0	0	0	0	0	
2016	7	9	0	0	0	0	7389	79265	0	7389	0	0	0	0	0	0	0	
2017	14	0	12	0	0	0	78931	12	0	78931	0	0	0	0	0	0	0	
2018	63	0	56	0	0	0	61828	9149	0	61828	0	0	0	0	0	0	0	
2019	7	0	0	0	0	0	7492	438	0	7492	0	0	0	0	0	0	0	
TOTAL	245	78634	3671	7	14894	158	1014900	152593		1014900			624	27	53688		6.3	

