
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2002	4	8	632	0	0	0	0	2322	0	0	0	0	1	0	0	0	0	
2003	21	0	12851	0	0	0	1460	12851	0	1460	0	0	0	0	0	0	0	
2004	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	34	0	0	0	9	0	804	0	0	804	0	0	0	0	200	0	0	
2010	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	24	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
2012	49	0	0	0	1	0	0	400	0	0	0	0	1	0	0	0	0	
2013	41	2	0	0	3	3	2	17002	0	2	0	0	0	0	0	0	0	
2014	102	3	0	0	97	2	473	424175	0	473	0	0	0	0	214	0	0	
2015	46	24	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
2016	178	2	1	0	0	0	4	1	0	4	0	0	0	0	0	0	0	
2017	96	0	367	0	0	0	0	372	0	0	0	0	0	0	0	0	0	
2018	536	5	3	0	1	0	0	589	0	0	0	0	3	0	0	0	0	
2019	757	10	3	0	0	0	150	62900	0	150	0	0	0	0	2	0	0	
TOTAL	1914	54	13859		116	5	2893	520614		2893			5		416			

