
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1977	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	0	625	0	0	625	0	0	0	0	0	0	0	
1979	1	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
1991	3	6	9	0	0	0	0	309	0	0	0	0	0	0	0	0	0	
1992	6	0	4	0	0	0	2278	4	0	2278	0	0	0	0	0	0	0	
1998	13	2	0	0	0	0	0	1909	0	0	0	412	5	0	150	0	0	
1999	14	3	0	0	377	0	0	407	0	0	0	0	2	0	0	0	0	
2000	4	7	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	
2001	15	0	0	2	157	0	0	3038	0	0	0	0	0	0	0	0	83	
2002	18	4	25	0	2076	0	3844	25	0	3844	0	0	0	0	25	0	0	
2003	30	3	9	0	1850	0	1946	1816	0	1946	0	0	10	3	0	0	0	
2004	65	11	95	0	9519	0	2615	102677	0	2615	0	0	25	13	76	0	0	
2005	48	4	111	0	1737	0	1465	4433	0	1465	0	0	47	2	497	0	0	
2006	85	11	119	0	3757	0	1203	8477	0	1203	0	0	29	3	8	0	0	
2007	125	26	139	0	1569	0	740	15588	0	740	0	0	36	0	189	0	0	
2008	153	19	234	1	2705	0	3197	7044	0	3197	0	0	24	5	184.8	0	0	
2009	350	34	838	1	4924	0	1351	6446	0	1351	0	0	51	5	660.8	0	30.95	
2010	408	36	262	3	4505	1244	1829	2784	0	1829	0	0	67	7	86	0	1.5	
2011	443	29	120	0	2646	964	1198	8099	0	1198	0	0	102	4	0	0	1	
2012	545	43	295	1	6039	3722	1655	33021	0	1655	0	0	94	21	14189.51	0	15	
2013	503	31	171	0	3312	5595	1598	45945	0	1598	0	0	79	8	875.5	0	0	
2014	618	32	184	30	2780	4909	1904	11715	0	1904	0	0	49	7	0	0	0	
2015	571	26	138	3	1894	2678	2266	5732	0	2266	0	0	46	6	1	0	3	
2016	663	20	180	2	1654	1869	1135	9218	0	1135	0	0	61	4	573.92	0	0	
2017	887	30	242	0	2137	2686	2154	14083	0	2154	0	0	88	14	495	0	0	
2018	1137	36	197	0	2644	3383	3667	16922	0	3667	0	0	138	9	1	0	0	
2019	1391	21	290	0	2731	5749	10680	39715	0	10680	0	0	170	24	0	0	0	
TOTAL	8098	441	3671	43	59078	32799	47350	339416		47350		412	1123	135	18012.53		134.45	

